data,local,divulgacao,+ pets,quantos +,castrou antes,nao pq,sexo,idade,cor,ocupacao,escolaridade,qtde pessoas moradia,qtde c/ renda,faixa de renda familiar,banheiros moradia,quartos moradia,situacao da moradia,meses
2024-04-05,RIO GRANDE,Faixa,Não,0,Não,É o primeiro animal que tenho,Feminino,30 - 34,Preto,"Não ocupado (a), não está procurando trabalho e está disponível para trabalhar",Ensino Médio Incompleto,5,1,1413-2824,1,Mais de 3 quartos,É própria (a que você mora),April
2024-04-05,RIO GRANDE,Whatsapp (grupo de faz parte),Não,0,Não,É o primeiro animal que tenho,Feminino,40 - 44,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Completo,3,2,4237-5648,2,2,É própria (a que você mora),April
2024-04-05,RIO GRANDE,"Por uma pessoa (parente, amigo, vizinho, etc.)",Não,0,Não,É o primeiro animal que tenho,Feminino,30 - 34,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,4,1,707-1412,1,1,É alugada (a que você mora),April
2024-04-05,RIO GRANDE,Carro de Som,Sim,2,Não,Não tinha condições financeiras,Feminino,55 - 59,Pardo,"Está ocupado (a) trabalhando no momento, mas com horário ocioso (somente uma parte do dia preenchido))",Ensino Médio Completo,4,1,707-1412,2,2,É própria (a que você mora),April
2024-04-05,RIO GRANDE,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,2,Não,É o primeiro animal que tenho,Feminino,45 - 49,Pardo,"Não ocupado (a), não está procurando trabalho e está disponível para trabalhar",Ensino Médio Incompleto,Mais de 5,0 (caso ninguém tenha renda),00,1,2,É própria (a que você mora),April
2024-04-08,RIO GRANDE,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,Mais de 3,Sim,0,Feminino,55 - 59,Pardo,"Não ocupado (a), está procurando trabalho e não está disponível para trabalhar",Ensino Superior Incompleto,2,1,1413-2824,1,1,É própria (a que você mora),April
2024-04-08,MAP BAND,Carro de Som,Sim,2,Não,Não tinha condições financeiras,Feminino,50 - 54,Branco,"Está ocupado (a) trabalhando no momento, mas com horário ocioso (somente uma parte do dia preenchido))",Ensino Médio Completo,5,1,707-1412,1,2,É alugada (a que você mora),April
2024-04-08,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,3,Sim,Não tinha condições financeiras,Masculino,45 - 49,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Incompleto,2,0 (caso ninguém tenha renda),1413-2824,1,2,É própria (a que você mora),April
2024-04-08,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,1,Não,Não tinha nem condições financeiras e nem como transportar o animal,Feminino,55 - 59,Pardo,Fora da força de trabalho (caso não seja possível trabalhar),Sem Escolaridade (Analfabeto/Semianalfabeto),3,2,1413-2824,1,2,É própria (a que você mora),April
2024-04-08,MAP BAND,Carro de Som,Sim,Mais de 3,Sim,0,Feminino,55 - 59,Pardo,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Fundamental Incompleto,1,1,1413-2824,1,1,É própria (a que você mora),April
2024-04-08,MAP BAND,Carro de Som,Não,0,Não,Não tinha condições financeiras,Masculino,45 - 49,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,4,0 (caso ninguém tenha renda),1413-2824,1,2,É própria (a que você mora),April
2024-04-08,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,2,Sim,0,Masculino,50 - 54,Pardo,"Está ocupado (a) trabalhando no momento, mas com horário ocioso (somente uma parte do dia preenchido))",Ensino Médio Completo,3,2,2825-4236,2,2,É própria (a que você mora),April
2024-04-08,MAP BAND,Carro de Som,Sim,Mais de 3,Sim,0,Feminino,60 - 100,Branco,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Completo,2,0 (caso ninguém tenha renda),1413-2824,1,2,É própria (a que você mora),April
2024-04-08,MAP BAND,Carro de Som,Sim,2,Sim,0,Feminino,50 - 54,Pardo,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Incompleto,4,3,1413-2824,1,2,É própria (a que você mora),April
2024-04-08,MAP BAND,Carro de Som,Sim,0,Sim,0,Masculino,60 - 100,Branco,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Completo,2,1,1413-2824,1,2,É alugada (a que você mora),April
2024-04-08,MAP BAND,Carro de Som,Sim,2,Não,Não tinha condições financeiras,Masculino,55 - 59,Branco,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Fundamental Incompleto,4,1,1413-2824,1,2,É própria (a que você mora),April
2024-04-08,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Não,0,Não,Não tinha condições financeiras,Feminino,60 - 100,Branco,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Incompleto,3,1,1413-2824,1,2,É alugada (a que você mora),April
2024-04-08,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,1,Não,Não tinha condições financeiras,Masculino,24 - 29,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Incompleto,0,0 (caso ninguém tenha renda),1413-2824,1,2,É alugada (a que você mora),April
2024-04-08,MAP BAND,Whatsapp (grupo de faz parte),Sim,2,Não,Não sabia dos benefícios da castração,Feminino,60 - 100,Pardo,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Completo,4,2,1413-2824,1,2,É própria (a que você mora),April
2024-04-08,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,Não sabia dos benefícios da castração,Feminino,60 - 100,Branco,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Completo,1,1,1413-2824,1,2,É própria (a que você mora),April
2024-04-08,MAP BAND,Whatsapp (grupo de faz parte),Sim,1,Não,Não tinha condições financeiras,Feminino,50 - 54,Pardo,"Não ocupado (a), não está procurando trabalho e está disponível para trabalhar",Ensino Médio Completo,2,1,1413-2824,1,2,É alugada (a que você mora),April
2024-04-08,MAP BAND,Carro de Som,Não,0,Não,Não tinha condições financeiras,Feminino,35 - 39,Pardo,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Fundamental Incompleto,3,0 (caso ninguém tenha renda),707-1412,1,2,É própria (a que você mora),April
2024-04-08,MAP BAND,Carro de Som,Sim,1,Não,É o primeiro animal que tenho,Feminino,40 - 44,Pardo,"Não ocupado (a), está procurando trabalho e não está disponível para trabalhar",Ensino Médio Completo,2,0 (caso ninguém tenha renda),707-1412,1,1,É própria (a que você mora),April
